,precision,recall,f1-score,support
accipitridae,0.6153846153846154,0.6666666666666666,0.64,12.0
acipenseridae,0.375,0.3333333333333333,0.35294117647058826,9.0
acroporidae,0.5862068965517241,0.8095238095238095,0.68,21.0
agamidae,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
agariciidae,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
albulidae,0.0,0.0,0.0,3.0
alcedinidae,1.0,0.3333333333333333,0.5,3.0
alligatoridae,0.5,0.3333333333333333,0.4,3.0
alopiidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
ambystomatidae,0.6,0.5,0.5454545454545454,6.0
anatidae,0.8333333333333334,0.5555555555555556,0.6666666666666666,18.0
anguidae,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
aotidae,1.0,0.3333333333333333,0.5,6.0
apidae,0.8571428571428571,0.8,0.8275862068965517,15.0
ardeidae,0.8571428571428571,1.0,0.9230769230769231,6.0
arthroleptidae,0.75,1.0,0.8571428571428571,3.0
atelidae,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
attelabidae,0.6,1.0,0.75,3.0
balaenicipitidae,0.5,0.3333333333333333,0.4,3.0
balaenidae,0.0,0.0,0.0,3.0
balaenopteridae,0.375,1.0,0.5454545454545454,3.0
balistidae,0.625,0.8333333333333334,0.7142857142857143,6.0
bombycillidae,0.75,1.0,0.8571428571428571,3.0
bovidae,0.7368421052631579,0.5833333333333334,0.6511627906976745,24.0
brachypteraciidae,0.25,0.3333333333333333,0.2857142857142857,3.0
bucerotidae,0.56,0.6666666666666666,0.6086956521739131,21.0
bufonidae,0.8,0.5333333333333333,0.64,15.0
burhinidae,0.8,0.6666666666666666,0.7272727272727273,6.0
cacatuidae,1.0,0.3333333333333333,0.5,3.0
callitrichidae,0.5,0.25,0.3333333333333333,12.0
callorhinchidae,0.0,0.0,0.0,3.0
caprimulgidae,0.0,0.0,0.0,3.0
carabidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
carcharhinidae,0.5333333333333333,0.5925925925925926,0.5614035087719298,27.0
cardiidae,0.375,0.5,0.42857142857142855,6.0
carettochelyidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
cebidae,0.6363636363636364,0.7777777777777778,0.7,9.0
cerambycidae,1.0,1.0,1.0,3.0
cercopithecidae,0.5862068965517241,0.5666666666666667,0.576271186440678,30.0
cervidae,0.2,0.3333333333333333,0.25,3.0
cetorhinidae,0.5,0.3333333333333333,0.4,3.0
chaetodontidae,1.0,1.0,1.0,6.0
chamaeleonidae,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
charadriidae,0.6,0.5,0.5454545454545454,6.0
cheirogaleidae,1.0,0.6666666666666666,0.8,3.0
chelidae,0.5,0.3333333333333333,0.4,6.0
cheloniidae,0.0,0.0,0.0,3.0
chelydridae,1.0,0.3333333333333333,0.5,3.0
ciconiidae,0.7142857142857143,0.5555555555555556,0.625,9.0
coenagrionidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
colubridae,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
columbidae,0.75,1.0,0.8571428571428571,3.0
conidae,1.0,1.0,1.0,3.0
cracidae,0.3333333333333333,0.5,0.4,6.0
cricetidae,1.0,1.0,1.0,3.0
crocodylidae,0.2857142857142857,0.6666666666666666,0.4,6.0
cryptobranchidae,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
ctenomyidae,0.2,0.3333333333333333,0.25,3.0
cuculidae,0.4,0.6666666666666666,0.5,3.0
cyprinodontidae,0.5,0.3333333333333333,0.4,3.0
dactyloidae,0.64,0.5333333333333333,0.5818181818181818,30.0
dalatiidae,0.5,0.3333333333333333,0.4,3.0
dasyatidae,0.29411764705882354,0.3333333333333333,0.3125,15.0
dasypodidae,1.0,1.0,1.0,3.0
dasyuridae,0.0,0.0,0.0,3.0
daubentoniidae,1.0,0.6666666666666666,0.8,3.0
delphinidae,0.625,0.4166666666666667,0.5,12.0
dendrobatidae,0.75,1.0,0.8571428571428571,3.0
dendrophylliidae,0.5,0.3333333333333333,0.4,3.0
diomedeidae,0.6363636363636364,0.7777777777777778,0.7,18.0
diploastraeidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
diplodactylidae,0.5,0.16666666666666666,0.25,6.0
elapidae,1.0,0.6666666666666666,0.8,3.0
emydidae,1.0,0.3333333333333333,0.5,6.0
equidae,0.6,1.0,0.75,3.0
estrildidae,0.75,1.0,0.8571428571428571,3.0
euphylliidae,0.25,0.1111111111111111,0.15384615384615385,9.0
falconidae,1.0,0.16666666666666666,0.2857142857142857,6.0
faviidae,0.18181818181818182,0.3333333333333333,0.23529411764705882,6.0
formicidae,0.8695652173913043,0.6896551724137931,0.7692307692307693,29.0
fringillidae,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
fungiidae,0.42857142857142855,1.0,0.6,3.0
